Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Indonesia,Philippines,Philippines,Other neighbouring countries include Singapore Vietnam the Philippines Australia Palau and India Andaman and Nicobar Islands,P530,Forwards
Vezo people,Madagascar,Madagascar,The Vezo is the term the seminomadic coastal people of southern Madagascar use to refer to people that have become accustomed to live from sea fishing,P17,Forwards
Wikimedia Foundation,Wikimedia movement,Wikimedia movement,The foundation supports and participates in the Wikimedia movement owning the internet domain names of its projects and hosting its websites including Wikipedia Wikidata and Wikimedia Commons,P527,Backwards
England,United Kingdom,United Kingdom,England is a country that is part of the United Kingdom,P150,Backwards
Shandong,China,Peoples Republic of China,Shandong ʃænˈdʊŋ 山东 alternately romanized as Shantung is a coastal province of the Peoples Republic of China and is part of the East China region,P150,Backwards
Greece,Athens,Athens,Its population is approximately 107 million as of 2018 Athens is its largest and capital city followed by Thessaloniki,P17,Backwards
Estonian Nature Fund,Estonia,Estonian,Estonian Fund for Nature Eestimaa Looduse Fond or ELF is an Estonian environmental nonprofit organisation,P17,Forwards
Liberia,United Nations,United Nations,Internationally Liberia was a founding member of the League of Nations United Nations and the Organisation of African Unity,P463,Forwards
Cuban dry forests,Cuba,Cuba,The Cuban dry forests are a tropical dry forest ecoregion that occupies 65800160km2 25400160sq160mi on Cuba and Isla de la Juventud,P17,Forwards
Republic of Ireland,European Union,European Union,Ireland is a member of the European Union and is a founding member of the Council of Europe and the OECD,P463,Forwards
Ocean,Seawater,Seawater,Seawater covers approximately 361000000160km2 139000000160sq160mi and is customarily divided into several principal oceans and smaller seas with the ocean as a whole covering approximately 71 of Earths surface and 90 of the Earths biosphere,P527,Forwards
Stockholm congestion tax,Sweden,Sweden,The Stockholm congestion tax Swedish Trängselskatt i Stockholm also referred to as the Stockholm congestion charge is a congestion pricing system implemented as a tax levied on most vehicles entering and exiting central Stockholm Sweden,P17,Forwards
Macau,China,China,Macau is a special administrative region of China which maintains separate governing and economic systems from those of mainland China under the principle of one country two systems,P361,Forwards
Rwanda,Tanzania,Tanzania,Located a few degrees south of the Equator Rwanda is bordered by Uganda Tanzania Burundi and the Democratic Republic of the Congo,P47,Backwards
Netherlands,China,China,The Port of Rotterdam is the busiest seaport in Europe and the busiest in any country outside East Asia and Southeast Asia behind only China and Singapore,P530,Forwards
Massachusetts,United States,United States,statestate in the New England region of the United States,P131,Forwards
Nova Scotia,Canada,Canada,Nova Scotia ˌnoʊvə ˈskoʊʃə NOHvə SKOHshə Scottish Gaelic Alba Nuadh French NouvelleÉcosse is one of the thirteen provinces and territories of Canada,P150,Backwards
Ghana,Ivory Coast,Ivory Coast,It spans along the Gulf of Guinea and the Atlantic Ocean sharing borders with the Ivory Coast in the west Burkina Faso in the north Togo in the east the Gulf of Guinea and the Atlantic Ocean in the south,P47,Backwards
Sustainable Development Goals,Sustainable Development Goal 4,Quality Education,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Germany,Netherlands,Netherlands,It borders Denmark to the north Poland and the Czech Republic to the east Austria and Switzerland to the south and France Luxembourg Belgium and the Netherlands to the west,P530,Backwards
Connecticut,Massachusetts,Massachusetts,It is bordered by Rhode Island to the east Massachusetts to the north New York to the west and the Long Island Sound to the south,P47,Forwards
Sustainable transport,Transport,transport,Sustainable transport refers to the broad subject of transport that is sustainable in the senses of social environmental and climate impacts,P279,Forwards
Austria,Germany,Germany,It is bordered by Germany to the northwest the Czech Republic to the north Slovakia to the northeast Hungary to the east Slovenia and Italy to the south and Switzerland and Liechtenstein to the west,P47,Backwards
Senegal,United Nations,United Nations,Senegal is a member state of the African Union the United Nations the Economic Community of West African States ECOWAS and the Community of SahelSaharan States,P463,Forwards
Saskatchewan,Manitoba,Manitoba,Saskatchewan is bordered on the west by Alberta on the north by the Northwest Territories on the east by Manitoba to the northeast by Nunavut and on the south by the US states of Montana and North Dakota,P47,Backwards
City Island Daytona Beach,Florida,Florida,City Island Daytona Beach Florida United States is an island in the Halifax River a section of the Intracoastal Waterway between mainland Florida and the barrier islandsouter banks,P131,Forwards
Sustainable Development Goal 16,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 16 SDG 16 or Global Goal 16 is about peace justice and strong institutions One of the 17 Sustainable Development Goals established by the United Nations in 2015 the official wording is Promote peaceful and inclusive societies for sustainable development provide access to justice for all and build effective accountable and inclusive institutions at all levels,P361,Forwards
Liberia,West Africa,West African,Liberia laɪˈbɪəriə32listen officially the Republic of Liberia is a country on the West African coast,P361,Forwards
Philippines,Quezon City,Quezon City,Manila is the nations capital while the largest city is Quezon City both lying within the urban area of Metro Manila,P17,Backwards
Namibia,Botswana,Botswana,Its western border is the Atlantic Ocean it shares land borders with Zambia and Angola to the north Botswana to the east and South Africa to the south and east,P47,Forwards
United Kingdom,Northern Ireland,Northern Ireland,The United Kingdom consists of four countries England Scotland Wales and Northern Ireland,P17,Backwards
Mumbai,Maharashtra,Maharashtra,Mumbai English mʊmˈbaɪ Marathi160ˈmumbəi also known as Bombay bɒmˈbeɪ the official name until 1995 is the capital city of the Indian state of Maharashtra,P131,Forwards
Sustainable Development Goal 17,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 17 SDG 17 or Global Goal 17 is about partnerships for the goals One of the 17 Sustainable Development Goals established by the United Nations in 2015 the official wording is Strengthen the means of implementation and revitalize the global partnership for sustainable development,P527,Backwards
Bali,Indonesia,Indonesia,Bali ˈbɑːli Balinese ᬩᬮᬶ is a province of Indonesia and the westernmost of the Lesser Sunda Islands,P17,Forwards
Sadichha Shrestha,Nepal,Nepal,She represented Nepal in Miss World 2010 in October 2010,P27,Forwards
Myanmar,India,India,Myanmar is bordered by Bangladesh and India to its northwest China to its northeast Laos and Thailand to its east and southeast and the Andaman Sea and the Bay of Bengal to its south and southwest,P47,Forwards
Indonesia,United Nations,United Nations,The country is a member of several multilateral organisations including the United Nations  World Trade Organization G20 and a founding member of the NonAligned Movement Association of Southeast Asian Nations East Asia Summit and the Organisation of Islamic Cooperation,P463,Forwards
Ghana,Togo,Togo,It spans along the Gulf of Guinea and the Atlantic Ocean sharing borders with the Ivory Coast in the west Burkina Faso in the north Togo in the east the Gulf of Guinea and the Atlantic Ocean in the south,P530,Backwards
Leena Harkimo,Finland,Finnish,Leena Harkimo née Alamäki born 28 March 1963 is a Finnish business executive and expolitician,P27,Forwards
UBC Farm,Vancouver,Vancouver,UBC FarmGeneral informationTypeFarm and forest systemLocation3461 Ross DriveUniversity Endowment LandsTown or cityVancouver BCCountryCanadaCoordinates49°15′03″N 123°14′20″Wxfeff  xfeff4925083°N 12323889°Wxfeff  4925083 12323889Construction started1915Renovated2000OwnerCentre for Sustainable Food Systems part of UBC Faculty of Land and Food SystemsGrounds20 hectaresWebsiteubcfarmubcca,P131,Forwards
Senegal,African Union,African Union,Senegal is a member state of the African Union the United Nations the Economic Community of West African States ECOWAS and the Community of SahelSaharan States,P463,Forwards
Gujarat,India,India,Gujarat ˌɡʊdʒəˈrɑːt Gujarati160ˈɡudʒəɾɑt32listen is a state on the western coast of India with a coastline of 1600160km 990160mi – most of which lies on the Kathiawar peninsula – and a population of 604160million,P17,Forwards
Wallonia,Flanders,Flanders,Wallonia borders Flanders and the Netherlands the province of Limburg in the north France Grand Est and HautsdeFrance to the south and west and Germany North RhineWestphalia and RhinelandPalatinate and Luxembourg Capellen Clervaux EschsurAlzette Redange and Wiltz to the east,P47,Backwards
Sewerage,Infrastructure,infrastructure,Sewerage is the infrastructure that conveys sewage or surface runoff stormwater meltwater rainwater using sewers,P279,Forwards
Cameroon,Central African Republic,Central African Republic,It is bordered by Nigeria to the west and north Chad to the northeast the Central African Republic to the east and Equatorial Guinea Gabon and the Republic of the Congo to the south,P47,Forwards
